subcategory_id,category_id,subcategory_description,subcategory_long_description
CMI80,CMI,"Bite, kick, etc.","Bite, kick, etc. (animal or human) - not specified"
CMI10,CMI,"Contact with electrical voltage, temperature, hazardous substances","Contact with electrical voltage, temperature, hazardous substances - not specified"
CMI50,CMI,"Contact with sharp, pointed, rough, coarse Material Agent ","Contact with sharp, pointed, rough, coarse Material Agent - not specified"
CMI20,CMI,"Drowned, buried, enveloped","Drowned, buried, enveloped - not specified"
CMI30,CMI,Horizontal or vertical impact with or against a stationary object,Horizontal or vertical impact with or against a stationary object (the victim is in motion) - not specified
CMI90,CMI,Other contacts,Other contacts - modes of injury not listed in this classification
CMI70,CMI,Physical or mental stress,Physical or mental stress - not specified
CMI40,CMI,Struck by object in motion,"Struck by object in motion, collision with - not specified"
CMI60,CMI,"Trapped, crushed, etc.","Trapped, crushed, etc. - not specified"
DEV_7,DEV,Body movement under or with physical stress,Body movement under or with physical stress (generally leading to an internal injury)
DEV_6,DEV,Body movement without any physical stress,Body movement without any physical stress (generally leading to an external injury)
DEV_3,DEV,"Breakage, bursting, splitting, slipping, fall, collapse of material agent","Breakage, bursting, splitting, slipping, fall, collapse of material agent"
DEV_2,DEV,"Deviation by overflow, overturn, leak, flow, vaporisation, emission","Deviation by overflow, overturn, leak, flow, vaporisation, emission"
DEV_1,DEV,"Deviation due to electrical problems, explosion, fire","Deviation due to electrical problems, explosion, fire"
DEV_4,DEV,"Loss of control of machine, means of transport or handling equipment, hand-held tool, object, animal","Loss of control (total or partial) of machine, means of transport or handling equipment, hand-held tool, object, animal"
DEV_9,DEV,Other deviations,Other deviations not listed above in this classification
DEV_8,DEV,"Shock, fright, violence, aggression, threat, presence","Shock, fright, violence, aggression, threat, presence"
DEV_5,DEV,Slipping - stumbling and falling - fall of persons,Slipping - stumbling and falling - fall of persons
PHA_5,PHA,Carrying by hand,Carrying by hand
PHA_3,PHA,Driving/being on board a means of transport or handling equipment,Driving/being on board a means of transport or handling equipment
PHA_4,PHA,Handling of objects,Handling of objects
PHA_6,PHA,Movement,Movement
PHA_1,PHA,Operating machine,Operating machine
PHA_9,PHA,Other specific physical activities,Other specific physical activities not listed in this classification
PHA_7,PHA,Presence,Presence
PHA_2,PHA,Working with hand-held tools,Working with hand-held tools
WEN_02,WEN,"Construction site, construction, opencast quarry, opencast mine","Construction site, construction, opencast quarry, opencast mine"
WEN_03,WEN,"Farming, breeding, fish farming, forest zone","Farming, breeding, fish farming, forest zone"
WEN_05,WEN,Health establishment,Health establishment
WEN_12,WEN,In high pressure environments,"In high pressure environments, excluding construction sites"
WEN_09,WEN,"In the air, elevated","In the air, elevated, excluding construction sites"
WEN_07,WEN,In the home,In the home
WEN_01,WEN,Industrial site,Industrial site
WEN_00,WEN,No information,No information
WEN_11,WEN,On /over water,"On /over water, excluding construction sites"
WEN_99,WEN,Other working environments,Other working environments not listed in the classification
WEN_06,WEN,Public area,Public area
WEN_08,WEN,Sports area,Sports area
WEN_04,WEN,"Tertiary activity area, office, amusement area, miscellaneous","Tertiary activity area, office, amusement area, miscellaneous"
WEN_10,WEN,Underground,"Underground, excluding construction sites"
WPR3,WPR,"Agriculture, forestry, horticulture, fish farming, work with live animals","Agriculture, forestry, horticulture, fish farming, work with live animals"
WPR2,WPR,"Excavation, construction, repair, demolition","Excavation, construction, repair, demolition"
WPR6,WPR,"Movement, sport, artistic activity","Movement, sport, artistic activity"
NINFO,WPR,No information,No information
OTH,WPR,Other,Other
WPR5,WPR,Other work processes,"Other work processes related to: production, manufacturing, processing, storing (WPR1); excavation, construction, repair, demolition (WPR2); agriculture, forestry, horticulture, fish farming, work with live animals (WPR3); service provided to enterprise and/or to the general public, intellectual activity (WPR4)"
WPR1,WPR,"Production, manufacturing, processing, storing","Production, manufacturing, processing, storing"
WPR4,WPR,"Service, intellectual activity",Service provided to enterprise and/or to the general public; intellectual activity
WST_0,WST,Not specified,Not specified
WST_2,WST,Occasional or mobile workstation,Occasional or mobile workstation or in a journey on behalf of the employer
WST_9,WST,Other workstation,Other workstation
WST_1,WST,Usual workstation or within the usual local unit of work,Usual workstation or within the usual local unit of work
